id,full_name,article,actions
apt-0096,Barbara Walters,en.wikipedia.org/wiki/Barbara Walters,name_status=birth_name
apt-0100,Barny Boatman,en.wikipedia.org/wiki/Barny Boatman,name_status=birth_name
apt-0101,Baron Hill,en.wikipedia.org/wiki/Baron Hill (politician),name_status=birth_name
apt-0102,Basil Butcher,en.wikipedia.org/wiki/Basil Butcher,name_status=birth_name
apt-0104,Bekim Kastrati,en.wikipedia.org/wiki/Bekim Kastrati,name_status=birth_name
apt-0106,Benjamin Britten,en.wikipedia.org/wiki/Benjamin Britten,name_status=birth_name
apt-0108,Benjamin Millepied,en.wikipedia.org/wiki/Benjamin Millepied,name_status=birth_name
apt-0109,Benjamin Rush,en.wikipedia.org/wiki/Benjamin Rush,name_status=birth_name
apt-0112,Bernard Foing,en.wikipedia.org/wiki/Bernard Foing,name_status=birth_name
apt-0114,Bert Ironmonger,en.wikipedia.org/wiki/Bert Ironmonger,name_status=birth_name
apt-0117,Bill Archer,en.wikipedia.org/wiki/Bill Archer,name_status=birth_name
apt-0122,Blas Cantó,en.wikipedia.org/wiki/Blas Cantó,name_status=birth_name
apt-0123,Bob Barber,en.wikipedia.org/wiki/Bob Barber (cricketer),name_status=birth_name
apt-0124,Bob Flowerdew,en.wikipedia.org/wiki/Bob Flowerdew,name_status=birth_name
apt-0126,Bob Rock,en.wikipedia.org/wiki/Bob Rock,name_status=birth_name
apt-0127,Bob Walk,en.wikipedia.org/wiki/Bob Walk,death_year=1983; name_status=birth_name
apt-0128,Bob Wise,en.wikipedia.org/wiki/Bob Wise,name_status=birth_name
apt-0129,Bob Woodward,en.wikipedia.org/wiki/Bob Woodward,name_status=birth_name
apt-0130,Bobby George,en.wikipedia.org/wiki/Bobby George,name_status=birth_name
apt-0136,Brad Hand,en.wikipedia.org/wiki/Brad Hand,name_status=birth_name
apt-0142,Brian Atwater,en.wikipedia.org/wiki/Brian Atwater,name_status=birth_name
apt-0143,Brian Baldinger,en.wikipedia.org/wiki/Brian Baldinger,birth_year=1959; name_status=birth_name
apt-0147,Brian Mast,en.wikipedia.org/wiki/Brian Mast,name_status=birth_name
apt-1269,Brian Runge,en.wikipedia.org/wiki/Brian Runge,name_status=birth_name
apt-0150,Bronislav Yermak,en.wikipedia.org/wiki/Bronislav Yermak,name_status=birth_name
apt-1270,Bruno Bozzetto,en.wikipedia.org/wiki/Bruno Bozzetto,name_status=birth_name
apt-0163,Carl Jung,en.wikipedia.org/wiki/Carl Jung,name_status=birth_name
apt-0164,Carl Linnaeus,en.wikipedia.org/wiki/Carl Linnaeus,name_status=birth_name
apt-0166,Carla Dove,en.wikipedia.org/wiki/Carla Dove,birth_year=1962; name_status=birth_name
apt-1272,Carlos Pace,en.wikipedia.org/wiki/Carlos Pace,name_status=birth_name
apt-0176,Cecil Beaton,en.wikipedia.org/wiki/Cecil Beaton,name_status=birth_name
apt-0177,Cecil Fielder,en.wikipedia.org/wiki/Cecil Fielder,death_year=1988; name_status=birth_name
apt-0180,Charles Bell,en.wikipedia.org/wiki/Charles Bell,name_status=birth_name
apt-0182,Charles Coward,en.wikipedia.org/wiki/Charles Coward,name_status=birth_name
apt-0183,Charles David Walker,en.wikipedia.org/wiki/Charles David Walker,name_status=birth_name
apt-0184,Charles Ewan Law,en.wikipedia.org/wiki/Charles Law (British politician),name_status=birth_name
apt-0186,Charles J. Precourt,en.wikipedia.org/wiki/Charles J. Precourt,name_status=birth_name
apt-0188,Charles Lyell,en.wikipedia.org/wiki/Charles Lyell,name_status=birth_name
apt-0191,Charles Reade,en.wikipedia.org/wiki/Charles Reade,name_status=birth_name
apt-0194,Charol Shakeshaft,en.wikipedia.org/wiki/Charol Shakeshaft,birth_year=1949; name_status=birth_name
apt-0196,Chesley Sullenberger,en.wikipedia.org/wiki/Chesley B. Sullenberger,name_status=birth_name
apt-0202,Chris Moneymaker,en.wikipedia.org/wiki/Chris Moneymaker,name_status=birth_name
apt-0203,Chris Rock,en.wikipedia.org/wiki/Chris Rock,name_status=birth_name
apt-0205,Chris Wood,"en.wikipedia.org/wiki/Chris Wood (footballer, born 1991)",name_status=birth_name
apt-0206,Christian Fuchs,en.wikipedia.org/wiki/Christian Fuchs,name_status=birth_name
apt-0210,Christiane Amanpour,en.wikipedia.org/wiki/Christiane Amanpour,name_status=birth_name
apt-0211,Christiane Endler,en.wikipedia.org/wiki/Christiane Endler,name_status=birth_name
apt-0212,Christopher Coke,en.wikipedia.org/wiki/Christopher Coke,birth_year=1969; name_status=birth_name
apt-0218,Christopher Wren,en.wikipedia.org/wiki/Christopher Wren,name_status=birth_name
apt-1274,Chuck Long,en.wikipedia.org/wiki/Chuck Long,name_status=birth_name
apt-0220,Ciro Immobile,en.wikipedia.org/wiki/Ciro Immobile,name_status=birth_name
apt-0222,Clara Barton,en.wikipedia.org/wiki/Clara Barton,name_status=birth_name
apt-0225,Claude Monet,en.wikipedia.org/wiki/Claude Monet,name_status=birth_name
apt-0226,Claudio Gentile,en.wikipedia.org/wiki/Claudio Gentile,name_status=birth_name
apt-0228,Clint Eastwood,en.wikipedia.org/wiki/Clint Eastwood,name_status=birth_name
apt-0231,Colin Bass,en.wikipedia.org/wiki/Colin Bass,birth_year=1951; name_status=birth_name
apt-1275,Constantinos Daskalakis,en.wikipedia.org/wiki/Constantinos Daskalakis,name_status=birth_name
apt-0234,Corona Rintawan,en.wikipedia.org/wiki/Corona Rintawan,birth_year=1975; name_status=birth_name
apt-0236,Cotton Mather,en.wikipedia.org/wiki/Cotton Mather,name_status=birth_name
apt-0240,Creflo Dollar,en.wikipedia.org/wiki/Creflo Dollar,birth_year=1962; name_status=birth_name
apt-0248,Dallas Raines,en.wikipedia.org/wiki/Dallas Raines,name_status=birth_name
apt-0249,Damien Fitzhenry,en.wikipedia.org/wiki/Damien Fitzhenry,name_status=birth_name
apt-0250,Dana Perino,en.wikipedia.org/wiki/Dana Perino,name_status=birth_name
apt-0254,Daniel Snowman,en.wikipedia.org/wiki/Daniel Snowman,birth_year=1938; name_status=birth_name
apt-0256,Danielle Outlaw,en.wikipedia.org/wiki/Danielle Outlaw,birth_year=1976; name_status=birth_name
apt-0257,Danny Elfman,en.wikipedia.org/wiki/Danny Elfman,name_status=birth_name
apt-0258,Danny Vuković,en.wikipedia.org/wiki/Danny Vuković,name_status=birth_name
apt-0260,Darren Potter,en.wikipedia.org/wiki/Darren Potter,name_status=birth_name
apt-0261,Dave Camp,en.wikipedia.org/wiki/Dave Camp,name_status=birth_name
apt-0265,David Cohen,en.wikipedia.org/wiki/David Cohen (rabbi),name_status=birth_name
apt-0267,David Dollar,en.wikipedia.org/wiki/David Dollar,birth_year=1954; death_year=2023; name_status=birth_name
apt-0270,David Goodfield,en.wikipedia.org/wiki/David Goodfield,name_status=birth_name
apt-0272,David Hookes,en.wikipedia.org/wiki/David Hookes,name_status=birth_name
apt-0278,David Møller Wolfe,en.wikipedia.org/wiki/David Møller Wolfe,name_status=birth_name
apt-0279,David M. Walker,en.wikipedia.org/wiki/David M. Walker (astronaut),name_status=birth_name
apt-0281,David Rodigan,en.wikipedia.org/wiki/David Rodigan,name_status=birth_name
apt-0282,David Shepherd,en.wikipedia.org/wiki/David Shepherd (umpire),name_status=birth_name
apt-0284,David Snow,en.wikipedia.org/wiki/David Snow (ornithologist),name_status=birth_name
apt-0285,Dávid Strelec,en.wikipedia.org/wiki/Dávid Strelec,name_status=birth_name
apt-0287,David W. Music,en.wikipedia.org/wiki/David W. Music,name_status=birth_name
apt-0288,David Weedon,en.wikipedia.org/wiki/David Weedon,name_status=birth_name
apt-0289,Davis Love III,en.wikipedia.org/wiki/Davis Love III,name_status=birth_name
apt-0295,Dennis Boyd,en.wikipedia.org/wiki/Oil Can Boyd,death_year=1989
apt-0299,Derek Kickett,en.wikipedia.org/wiki/Derek Kickett,name_status=birth_name
apt-0301,Des Britten,en.wikipedia.org/wiki/Des Britten,name_status=birth_name
apt-1278,Dickie Bird,en.wikipedia.org/wiki/Dickie Bird,name_status=birth_name
apt-0309,Dixie Dean,en.wikipedia.org/wiki/Dixie Dean,name_status=birth_name
apt-0310,Dmitri Medvedev,en.wikipedia.org/wiki/Dmitry Medvedev,name_status=birth_name
apt-0313,Dominique Dropsy,en.wikipedia.org/wiki/Dominique Dropsy,death_year=2015; name_status=birth_name
apt-0315,Don Black,en.wikipedia.org/wiki/Don Black (white supremacist),name_status=birth_name
apt-0318,Donald Trump,en.wikipedia.org/wiki/Donald Trump,name_status=birth_name
apt-0319,Dorothea Dix,en.wikipedia.org/wiki/Dorothea Dix,name_status=birth_name
apt-0320,Dorothea Lange,en.wikipedia.org/wiki/Dorothea Lange,name_status=professional_name; alt_name=Dorothea Margaretta Nutzhorn
apt-0321,Doug Bowser,en.wikipedia.org/wiki/Doug Bowser,birth_year=1961; name_status=birth_name
apt-0325,Duncan D. Hunter,en.wikipedia.org/wiki/Duncan D. Hunter,name_status=birth_name
apt-0327,Duncan Hunter,en.wikipedia.org/wiki/Duncan Hunter,death_year=2020; name_status=birth_name
apt-0330,Early Wynn,en.wikipedia.org/wiki/Early Wynn,name_status=birth_name
apt-0331,Ebenezer Emmons,en.wikipedia.org/wiki/Ebenezer Emmons,name_status=birth_name
apt-0332,Ed Currie,en.wikipedia.org/wiki/Ed Currie,birth_year=1963; name_status=birth_name
apt-0335,Edgar Allan Poe,en.wikipedia.org/wiki/Edgar Allan Poe,name_status=birth_name
apt-0337,Édouard Manet,en.wikipedia.org/wiki/Édouard Manet,name_status=birth_name
apt-0338,Sir Edward Coke,en.wikipedia.org/wiki/Edward Coke,name_status=birth_name
apt-0340,Edward Jenner,en.wikipedia.org/wiki/Edward Jenner,name_status=birth_name
apt-0343,Edward Tatum,en.wikipedia.org/wiki/Edward Tatum,name_status=birth_name
apt-0347,Elizabeth Blackwell,en.wikipedia.org/wiki/Elizabeth Blackwell,name_status=birth_name
apt-0350,Elizabeth Warren,en.wikipedia.org/wiki/Elizabeth Warren,name_status=birth_name
apt-0354,Emilio Botín,en.wikipedia.org/wiki/Emilio Botín,name_status=birth_name
apt-0358,Ennio Morricone,en.wikipedia.org/wiki/Ennio Morricone,name_status=birth_name
apt-1279,Éric Gagné,en.wikipedia.org/wiki/Éric Gagné,death_year=2004; name_status=birth_name
apt-0360,Eric Hollies,en.wikipedia.org/wiki/Eric Hollies,name_status=birth_name
apt-0362,Erik Fish,en.wikipedia.org/wiki/Erik Fish,name_status=birth_name
apt-0365,Esperanza Spalding,en.wikipedia.org/wiki/Esperanza Spalding,name_status=birth_name
apt-0366,Ethan Hooker,en.wikipedia.org/wiki/Ethan Hooker,name_status=birth_name
apt-0368,Eugène Terre'Blanche,en.wikipedia.org/wiki/Eugène Terre'Blanche,name_status=birth_name
apt-0369,Eugenius Outerbridge,en.wikipedia.org/wiki/Eugenius Harvey Outerbridge,name_status=birth_name
apt-0370,Evangelista Torricelli,en.wikipedia.org/wiki/Evangelista Torricelli,name_status=birth_name
apt-0371,Faith Popcorn,en.wikipedia.org/wiki/Faith Popcorn,birth_year=1943; name_status=professional_name; alt_name=Faith Plotkin
apt-0372,Farokh Engineer,en.wikipedia.org/wiki/Farokh Engineer,name_status=birth_name
apt-0373,Federico Fellini,en.wikipedia.org/wiki/Federico Fellini,name_status=birth_name
apt-0374,Ferdinand Magellan,en.wikipedia.org/wiki/Ferdinand Magellan,name_status=birth_name
apt-0376,Fielder Jones,en.wikipedia.org/wiki/Fielder Jones,name_status=birth_name
apt-1280,Fikri Sönmez,en.wikipedia.org/wiki/Fikri Sönmez,name_status=birth_name
apt-0377,Florence Nightingale,en.wikipedia.org/wiki/Florence Nightingale,name_status=birth_name
apt-0379,Forest Whitaker,en.wikipedia.org/wiki/Forest Whitaker,name_status=birth_name
apt-0382,Frances Crook,en.wikipedia.org/wiki/Frances Crook,birth_year=1952; name_status=birth_name
apt-0384,Francine Prose,en.wikipedia.org/wiki/Francine Prose,name_status=birth_name
apt-0385,Francis E. Warren,en.wikipedia.org/wiki/Francis E. Warren,name_status=birth_name
apt-0388,Frank Beard,en.wikipedia.org/wiki/Frank Beard (musician),death_year=2026; name_status=birth_name
apt-0392,Franz Liszt,en.wikipedia.org/wiki/Franz Liszt,name_status=birth_name
apt-0393,Fred Astaire,en.wikipedia.org/wiki/Fred Astaire,name_status=professional_name; alt_name=Frederick Austerlitz
apt-0395,Fred Root,en.wikipedia.org/wiki/Fred Root,name_status=birth_name
apt-0398,Fritz Lang,en.wikipedia.org/wiki/Fritz Lang,name_status=birth_name
apt-0399,Gabe Pressman,en.wikipedia.org/wiki/Gabe Pressman,name_status=birth_name
apt-0400,Gaius Julius Caesar,en.wikipedia.org/wiki/Julius Caesar,name_status=birth_name
apt-0403,Galen,en.wikipedia.org/wiki/Galen,name_status=birth_name
apt-0409,Gary Oldman,en.wikipedia.org/wiki/Gary Oldman,name_status=birth_name
apt-0413,Gene Shearer,en.wikipedia.org/wiki/Gene Shearer,name_status=birth_name
apt-0415,Georg Simon Ohm,en.wikipedia.org/wiki/Georg Ohm,name_status=birth_name
apt-0416,George Archibald,en.wikipedia.org/wiki/George W. Archibald,name_status=birth_name
apt-0418,George Beet,en.wikipedia.org/wiki/George Beet,name_status=birth_name
apt-0419,George Berkeley,en.wikipedia.org/wiki/George Berkeley,name_status=birth_name
apt-0420,George Best,en.wikipedia.org/wiki/George Best,name_status=birth_name
apt-0421,George Bird Grinnell,en.wikipedia.org/wiki/George Bird Grinnell,name_status=birth_name
apt-0422,George C. Marshall,en.wikipedia.org/wiki/George C. Marshall,name_status=birth_name
apt-0425,George Francis Train,en.wikipedia.org/wiki/George Francis Train,name_status=birth_name
apt-0426,George Jeffreys,"en.wikipedia.org/wiki/George Jeffreys, 1st Baron Jeffreys",name_status=birth_name
apt-0428,George McGovern,en.wikipedia.org/wiki/George McGovern,name_status=birth_name
apt-0429,George Miller Beard,en.wikipedia.org/wiki/George Miller Beard,name_status=birth_name
apt-0430,George Pope,en.wikipedia.org/wiki/George Pope (cricketer),name_status=birth_name
apt-0433,George Stephenson,en.wikipedia.org/wiki/George Stephenson,name_status=birth_name
apt-0435,George Winterling,en.wikipedia.org/wiki/George Winterling,name_status=birth_name
apt-0436,Georgia O'Keeffe,en.wikipedia.org/wiki/Georgia O'Keeffe,name_status=birth_name
apt-0440,Gerard Piqué,en.wikipedia.org/wiki/Gerard Piqué,name_status=birth_name
apt-0441,Gerhard Weber,en.wikipedia.org/wiki/Gerhard Weber (designer),name_status=birth_name
apt-0442,Gert Oostindie,en.wikipedia.org/wiki/Gert Oostindie,name_status=birth_name
apt-0443,Geva Mentor,en.wikipedia.org/wiki/Geva Mentor,name_status=birth_name
apt-0447,Giuseppe Verdi,en.wikipedia.org/wiki/Giuseppe Verdi,name_status=birth_name
apt-0448,Glenn Gould,en.wikipedia.org/wiki/Glenn Gould,name_status=birth_name
apt-0449,Glenn Seaborg,en.wikipedia.org/wiki/Glenn T. Seaborg,name_status=birth_name
apt-0450,Gnaeus Julius Agricola,en.wikipedia.org/wiki/Gnaeus Julius Agricola,name_status=birth_name
apt-0452,Gnaeus Pompeius Strabo,en.wikipedia.org/wiki/Gnaeus Pompeius Strabo,name_status=birth_name
apt-0453,Gontran Cherrier,en.wikipedia.org/wiki/Gontran Cherrier,name_status=birth_name
apt-0455,Gordon Parks,en.wikipedia.org/wiki/Gordon Parks,name_status=birth_name
apt-0457,Gout Gout,en.wikipedia.org/wiki/Gout Gout,name_status=birth_name
apt-0458,Gouverneur Kemble,en.wikipedia.org/wiki/Gouverneur Kemble,name_status=birth_name
apt-0459,Gouverneur Kemble Warren,en.wikipedia.org/wiki/G. K. Warren,name_status=birth_name
apt-0460,Gouverneur Morris,en.wikipedia.org/wiki/Gouverneur Morris,name_status=birth_name
apt-0461,Graham Onions,en.wikipedia.org/wiki/Graham Onions,name_status=birth_name
apt-0462,Graham Potter,en.wikipedia.org/wiki/Graham Potter,name_status=birth_name
apt-0467,Gregory Price,en.wikipedia.org/wiki/Gregory Price (economist),name_status=birth_name
apt-0469,Gustav Mahler,en.wikipedia.org/wiki/Gustav Mahler,name_status=birth_name
apt-0471,Habib El Malki,en.wikipedia.org/wiki/Habib El Malki,name_status=birth_name
apt-1284,Hank Soar,en.wikipedia.org/wiki/Hank Soar,name_status=birth_name
apt-0474,Hans Zimmer,en.wikipedia.org/wiki/Hans Zimmer,death_year=2012; name_status=birth_name
apt-0477,Harold Wordsworth Barber,en.wikipedia.org/wiki/Harold Wordsworth Barber,name_status=birth_name
apt-0484,Hayao Miyazaki,en.wikipedia.org/wiki/Hayao Miyazaki,death_year=1972; name_status=birth_name
apt-0487,Heather Reid,en.wikipedia.org/wiki/Heather Reid,name_status=birth_name
apt-0489,Heinrich Hertz,en.wikipedia.org/wiki/Heinrich Hertz,name_status=birth_name
apt-0490,Helen DeWitt,en.wikipedia.org/wiki/Helen DeWitt,name_status=birth_name
apt-0494,Henry Bessemer,en.wikipedia.org/wiki/Henry Bessemer,name_status=birth_name
apt-0495,Henry Head,en.wikipedia.org/wiki/Henry Head,birth_year=1861; death_year=1940; name_status=birth_name
apt-0499,Henry Wadsworth Longfellow,en.wikipedia.org/wiki/Henry Wadsworth Longfellow,name_status=birth_name
apt-0501,Herbert S. Goldstein,en.wikipedia.org/wiki/Herbert S. Goldstein,name_status=birth_name
apt-0503,Holly Hunter,en.wikipedia.org/wiki/Holly Hunter,name_status=birth_name
apt-0510,Howard Cannon,en.wikipedia.org/wiki/Howard Cannon,name_status=birth_name
apt-0513,Hubert Green,en.wikipedia.org/wiki/Hubert Green,name_status=birth_name
apt-0517,Hugh Fish,en.wikipedia.org/wiki/Hugh Fish,name_status=birth_name
apt-0521,Humphry Davy,en.wikipedia.org/wiki/Humphry Davy,name_status=birth_name
apt-0524,Ian Bishop,en.wikipedia.org/wiki/Ian Bishop (bishop),birth_year=1962; name_status=birth_name
apt-0528,Igor Judge,en.wikipedia.org/wiki/Igor Judge,death_year=2023; name_status=birth_name
apt-0529,Increase Mather,en.wikipedia.org/wiki/Increase Mather,name_status=birth_name
apt-0530,Innocent of Alaska,en.wikipedia.org/wiki/Innocent of Alaska,name_status=birth_name
apt-0532,Isaac Newton,en.wikipedia.org/wiki/Isaac Newton,name_status=birth_name
apt-0533,Isaac Success,en.wikipedia.org/wiki/Isaac Success,name_status=birth_name
apt-0534,Isambard Kingdom Brunel,en.wikipedia.org/wiki/Isambard Kingdom Brunel,name_status=birth_name
apt-0535,Itzhak Perlman,en.wikipedia.org/wiki/Itzhak Perlman,name_status=birth_name
apt-0544,Jackson Pollock,en.wikipedia.org/wiki/Jackson Pollock,name_status=birth_name
apt-0547,Jagoš Vuković,en.wikipedia.org/wiki/Jagoš Vuković,name_status=birth_name
apt-0548,Jaime Sin,en.wikipedia.org/wiki/Jaime Sin,name_status=birth_name
apt-0550,Jake Tapper,en.wikipedia.org/wiki/Jake Tapper,name_status=birth_name
apt-0551,Jamaal Bowman,en.wikipedia.org/wiki/Jamaal Bowman,name_status=birth_name
apt-0553,James Cameron,en.wikipedia.org/wiki/James Cameron,name_status=birth_name
apt-0554,James Cook,en.wikipedia.org/wiki/James Cook,name_status=birth_name
apt-0556,James Dutton,en.wikipedia.org/wiki/James Dutton (astronaut),name_status=birth_name
apt-0561,James Joule,en.wikipedia.org/wiki/James Prescott Joule,name_status=birth_name
apt-0562,James Justice,en.wikipedia.org/wiki/Jim Justice,name_status=birth_name
apt-0568,James Parkinson,en.wikipedia.org/wiki/James Parkinson,name_status=birth_name
apt-0572,James Trafford,en.wikipedia.org/wiki/James Trafford,name_status=birth_name
apt-0573,James Watt,en.wikipedia.org/wiki/James Watt,name_status=birth_name
apt-0576,Jan Vennegoor of Hesselink,en.wikipedia.org/wiki/Jan Vennegoor of Hesselink,name_status=birth_name
apt-0583,Javier Cámara,en.wikipedia.org/wiki/Javier Cámara,name_status=birth_name
apt-0584,Jay Carney,en.wikipedia.org/wiki/Jay Carney,name_status=birth_name
apt-0587,Jeff Float,en.wikipedia.org/wiki/Jeff Float,name_status=birth_name
apt-0591,Jennifer McClellan,en.wikipedia.org/wiki/Jennifer McClellan,name_status=birth_name
apt-0594,Jeremy Wade,en.wikipedia.org/wiki/Jeremy Wade,name_status=birth_name
apt-0595,Jerry Forest Franklin,en.wikipedia.org/wiki/Jerry F. Franklin,name_status=birth_name
apt-0598,Jim Bottomley,en.wikipedia.org/wiki/Jim Bottomley,name_status=birth_name
apt-0600,Jim McGovern,en.wikipedia.org/wiki/Jim McGovern,death_year=1976; name_status=birth_name
apt-0603,Jim Starlin,en.wikipedia.org/wiki/Jim Starlin,name_status=birth_name
apt-0604,Jimmy Doolittle,en.wikipedia.org/wiki/Jimmy Doolittle,name_status=birth_name
apt-0605,Jimmy McGrory,en.wikipedia.org/wiki/Jimmy McGrory,name_status=birth_name
apt-0606,Joachim Löw,en.wikipedia.org/wiki/Joachim Löw,name_status=birth_name
apt-0608,Jocelyn Bell Burnell,en.wikipedia.org/wiki/Jocelyn Bell Burnell,name_status=birth_name
apt-0613,Johan Wallens,en.wikipedia.org/wiki/Johan Wallens,name_status=birth_name
apt-0614,Johann Gustav Fischer,en.wikipedia.org/wiki/Johann Gustav Fischer,name_status=birth_name
apt-0615,Johann Strauss II,en.wikipedia.org/wiki/Johann Strauss II,name_status=birth_name
apt-0616,John Armstrong,en.wikipedia.org/wiki/John Armstrong (poet),name_status=birth_name
apt-0618,John Bond,en.wikipedia.org/wiki/John Bond (banker),name_status=birth_name
apt-0622,John C. Furman,en.wikipedia.org/wiki/John Furman,name_status=birth_name
apt-0623,John Cage,en.wikipedia.org/wiki/John Cage,name_status=birth_name
apt-0624,John Carpenter,en.wikipedia.org/wiki/John Carpenter,name_status=birth_name
apt-1290,John Carpenter,en.wikipedia.org/wiki/John Carpenter (bishop of Worcester),name_status=birth_name
apt-0626,John Constable,en.wikipedia.org/wiki/John Constable,name_status=birth_name
apt-0627,John de Wolf,en.wikipedia.org/wiki/John de Wolf,name_status=birth_name
apt-0631,John Hardon,en.wikipedia.org/wiki/John Hardon,name_status=birth_name
apt-0632,John Henry Leech,en.wikipedia.org/wiki/John Henry Leech,name_status=birth_name
apt-0633,John Hunter,en.wikipedia.org/wiki/John Hunter (surgeon),name_status=birth_name
apt-0637,John Laws,en.wikipedia.org/wiki/John Laws,death_year=2025; name_status=birth_name
apt-0638,John Leech,en.wikipedia.org/wiki/John Leech (caricaturist),name_status=birth_name
apt-0640,John McClellan,en.wikipedia.org/wiki/John Little McClellan,name_status=birth_name
apt-0648,John Taylor Doolittle,en.wikipedia.org/wiki/John Doolittle,name_status=birth_name
apt-0649,John Utaka,en.wikipedia.org/wiki/John Utaka,name_status=birth_name
apt-0650,John Williams,en.wikipedia.org/wiki/John Williams,name_status=birth_name
apt-0659,Jonathan Jäger,en.wikipedia.org/wiki/Jonathan Jäger,name_status=birth_name
apt-0660,José Bové,en.wikipedia.org/wiki/José Bové,name_status=birth_name
apt-0662,Joseph A. Walker,en.wikipedia.org/wiki/Joseph A. Walker,name_status=birth_name
apt-0666,Joseph Locke,en.wikipedia.org/wiki/Joseph Locke,name_status=birth_name
apt-0667,Joseph Priestley,en.wikipedia.org/wiki/Joseph Priestley,name_status=birth_name
apt-0670,Josh Earnest,en.wikipedia.org/wiki/Josh Earnest,birth_year=1975; name_status=birth_name
apt-0673,Joshua Bell,en.wikipedia.org/wiki/Joshua Bell,name_status=birth_name
