id,full_name,article,actions
apt-0006,Abu Hafs Amr Haddad,en.wikipedia.org/wiki/Abu Hafs Amr Haddad,name_status=birth_name
apt-0008,Adam Riess,en.wikipedia.org/wiki/Adam Riess,name_status=birth_name
apt-0011,Adolf Jäger,en.wikipedia.org/wiki/Adolf Jäger,name_status=birth_name
apt-0013,Aerial Powers,en.wikipedia.org/wiki/Aerial Powers,name_status=birth_name
apt-0014,Aidan Stone,en.wikipedia.org/wiki/Aiden Stone,name_status=birth_name
apt-0016,Akihiko Hoshide,en.wikipedia.org/wiki/Akihiko Hoshide,name_status=birth_name
apt-0017,Akira Kurosawa,en.wikipedia.org/wiki/Akira Kurosawa,name_status=birth_name
apt-0018,Al Haynes,en.wikipedia.org/wiki/Al Haynes,name_status=birth_name
apt-0019,Alain Casanova,en.wikipedia.org/wiki/Alain Casanova,name_status=birth_name
apt-0020,Alan Ball,en.wikipedia.org/wiki/Alan Ball (footballer),name_status=birth_name
apt-0022,Alastair Cook,en.wikipedia.org/wiki/Alastair Cook,name_status=birth_name
apt-0024,Alec Steele,en.wikipedia.org/wiki/Alec Steele,name_status=birth_name
apt-0025,Alessandro Volta,en.wikipedia.org/wiki/Alessandro Volta,name_status=birth_name
apt-0026,Alexander Burns Wallace,en.wikipedia.org/wiki/Alexander Burns Wallace,name_status=birth_name
apt-1266,Alf Hitchcock,en.wikipedia.org/wiki/Alf Hitchcock,name_status=birth_name
apt-0028,Alfred Adler,en.wikipedia.org/wiki/Alfred Adler,name_status=birth_name
apt-0031,Alfred Hitchcock,en.wikipedia.org/wiki/Alfred Hitchcock,name_status=birth_name
apt-0032,Alfred Russel Wallace,en.wikipedia.org/wiki/Alfred Russel Wallace,name_status=birth_name
apt-0036,Allison Field,en.wikipedia.org/wiki/Frank Field (meteorologist),birth_year=1923; death_year=2023
apt-0389,Frank Field,en.wikipedia.org/wiki/Frank Field (meteorologist),alt_name=Franklyn Feld
apt-0037,Alper Gezeravci,en.wikipedia.org/wiki/Alper Gezeravci,name_status=birth_name
apt-0038,Am Rong,en.wikipedia.org/wiki/Am Rong,birth_year=1929; death_year=1975; name_status=birth_name
apt-0040,Ambroise Paré,en.wikipedia.org/wiki/Ambroise Paré,name_status=birth_name
apt-0042,Amy Freeze,en.wikipedia.org/wiki/Amy Freeze,birth_year=1974; name_status=birth_name
apt-0044,Amy Winehouse,en.wikipedia.org/wiki/Amy Winehouse,name_status=birth_name
apt-0048,André-Marie Ampère,en.wikipedia.org/wiki/André-Marie Ampère,name_status=birth_name
apt-0049,Andre Wisdom,en.wikipedia.org/wiki/Andre Wisdom,name_status=birth_name
apt-0050,Andreas Vesalius,en.wikipedia.org/wiki/Andreas Vesalius,name_status=birth_name
apt-0055,Andrew Hull Foote,en.wikipedia.org/wiki/Andrew Hull Foote,name_status=birth_name
apt-0058,Andrija Vuković,en.wikipedia.org/wiki/Andrija Vuković,name_status=birth_name
apt-0059,Andy Carroll,en.wikipedia.org/wiki/Andy Carroll,name_status=birth_name
apt-0064,Angus King,en.wikipedia.org/wiki/Angus King,name_status=birth_name
apt-0067,Anna Smashnova,en.wikipedia.org/wiki/Anna Smashnova,name_status=birth_name
apt-0075,Anthony Weiner,en.wikipedia.org/wiki/Anthony Weiner,name_status=birth_name
apt-0078,Arianna Huffington,en.wikipedia.org/wiki/Arianna Huffington,name_status=professional_name; alt_name=Ariadnē-Anna Stasinopoúlou
apt-0080,Armin Jäger,en.wikipedia.org/wiki/Armin Jäger,name_status=birth_name
apt-0081,Arsène Wenger,en.wikipedia.org/wiki/Arsène Wenger,name_status=birth_name
apt-0083,Art Spiegelman,en.wikipedia.org/wiki/Art Spiegelman,name_status=birth_name
apt-0084,Arthur Bliss,en.wikipedia.org/wiki/Arthur Bliss,name_status=birth_name
apt-0085,Ashleigh Johnson,en.wikipedia.org/wiki/Ashleigh Johnson,name_status=birth_name
apt-0086,Sir Astley Paston Cooper,en.wikipedia.org/wiki/Astley Cooper,name_status=birth_name
apt-0087,Auguste Lumière,en.wikipedia.org/wiki/Auguste and Louis Lumière,name_status=birth_name
apt-0762,Louis Lumière,en.wikipedia.org/wiki/Auguste and Louis Lumière,name_status=birth_name
apt-0095,Barbara Snow,en.wikipedia.org/wiki/Barbara Snow (ornithologist),name_status=birth_name
